Date,Rating
2020-03-08,1514
2020-03-06,
2019-09-01,1575
2019-09-01,1566
2019-08-25,1579
2019-03-11,
2019-03-10,1587
2019-03-08,
2018-12-30,1580
2018-06-17,1554
2018-05-28,1517
2018-05-28,1527
2018-03-31,1474
2018-03-25,1450
2018-03-18,1406
2018-03-04,1415
2018-03-02,
2018-01-28,1474
2018-01-20,1466
2018-01-19,
2018-01-07,1480
2017-12-30,1491
2017-12-17,1439
2017-11-12,1432
2017-10-22,1442
2017-09-10,1432
2017-06-11,1442
2017-06-03,1434
2017-05-29,1422
2017-05-14,1315
2017-05-06,1302
2017-05-05,
2017-04-23,1299
2017-04-08,1282
2017-04-07,
2017-04-01,1345
2017-03-26,1328
2017-03-19,1372
2017-03-12,1397
2017-03-10,
2017-03-04,1437
2017-02-26,1492
2017-02-11,1433
2017-02-05,1437
2017-01-21,1401
2017-01-16,1373
2017-01-08,1386
2016-11-19,1405
2016-11-06,1368
2016-11-02,
2016-10-10,1421
2016-10-02,1348
2016-09-28,
2016-09-24,1355
2016-08-28,1383
2016-07-31,1423
2016-07-04,
2016-06-19,1418
2016-05-30,1435
2016-05-01,1457
2016-04-16,1397
2016-03-20,1436
2016-03-06,1366
2016-03-04,
2016-02-28,1422
2016-02-20,1428
2016-02-13,1248
2016-02-06,1239
2016-01-18,1245
2016-01-18,1305
2016-01-03,
2015-12-29,1271
2015-12-19,1252
2015-11-21,1285
2015-11-14,1292
2015-11-08,1297
2015-10-17,1280
2015-10-03,1310
2015-09-19,1352
2015-09-19,1340
2015-09-07,1290
2015-08-30,1287
2015-08-15,1199
2015-06-28,1260
2015-06-06,1225
2015-05-25,1172
2015-05-16,1241
2015-05-03,1164
2015-04-19,1148
2015-03-29,1177
2015-03-15,1170
2015-03-13,
2015-03-07,1173
2015-02-28,1126
2015-02-08,1059
2015-02-07,1032
2015-01-18,1072
2015-01-10,1077
2014-12-28,1067
2014-12-14,1064
2014-11-15,1034
2014-11-04,1006
2014-10-12,993
2014-09-07,1000
2014-08-10,933
2014-07-22,
2014-07-21,
2014-07-20,973
2014-07-18,
2014-07-18,730
2014-07-17,
2014-07-16,
2014-07-14,
2014-07-08,
2014-07-07,
2014-06-22,724
2014-06-08,685
2014-05-17,614
2014-04-27,630
2014-04-05,622
2014-03-30,600
2014-03-08,768
